               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,              0.0423,            0.014539,           0.0065254,             0.95034,             0.92125,             0.94826,             0.46009,            0.035158,            0.011705,           0.0029248,            0.005248,            0.005248,            0.005248
                  50,            0.044811,            0.015104,           0.0061624,              0.9228,             0.91099,             0.92872,             0.44461,            0.034406,            0.011647,           0.0025713,            0.005149,            0.005149,            0.005149
                  51,            0.041794,            0.014904,           0.0061747,             0.90841,             0.89218,             0.94446,             0.45604,            0.032683,            0.013131,            0.002563,             0.00505,             0.00505,             0.00505
                  52,            0.039068,            0.014571,           0.0063867,             0.96004,             0.92024,             0.94923,             0.47377,            0.032005,            0.011836,           0.0024214,            0.004951,            0.004951,            0.004951
                  53,            0.040785,             0.01455,           0.0062955,             0.96561,             0.92353,             0.95143,             0.48519,            0.031521,            0.011612,            0.002358,            0.004852,            0.004852,            0.004852
                  54,            0.039491,            0.015076,           0.0063871,             0.96277,             0.92699,             0.95105,             0.46717,            0.031971,            0.011765,           0.0026812,            0.004753,            0.004753,            0.004753
                  55,            0.038611,            0.014546,            0.005826,              0.9599,             0.93128,              0.9474,             0.45858,            0.032771,            0.011548,           0.0025868,            0.004654,            0.004654,            0.004654
                  56,            0.040676,            0.014759,           0.0069708,             0.95799,             0.93306,             0.95315,             0.46741,              0.0317,            0.011507,           0.0025848,            0.004555,            0.004555,            0.004555
                  57,            0.038685,            0.014934,           0.0064124,             0.96508,              0.9292,             0.95606,             0.48312,            0.030697,            0.011631,           0.0024312,            0.004456,            0.004456,            0.004456
                  58,            0.039616,            0.014627,           0.0056087,             0.95848,             0.93757,             0.95468,              0.4749,            0.030557,            0.011667,           0.0021245,            0.004357,            0.004357,            0.004357
                  59,            0.039317,            0.015289,           0.0060347,             0.96513,             0.93012,             0.95361,             0.49291,            0.030424,            0.011543,            0.002039,            0.004258,            0.004258,            0.004258
                  60,            0.036185,            0.014097,           0.0055384,             0.96484,             0.93722,             0.95723,             0.48981,            0.030879,            0.011427,           0.0019285,            0.004159,            0.004159,            0.004159
                  61,            0.038144,             0.01439,           0.0043953,             0.97253,             0.94107,             0.96123,             0.49909,            0.029718,            0.011326,           0.0018318,             0.00406,             0.00406,             0.00406
                  62,            0.035842,            0.014062,           0.0044795,             0.96799,             0.93917,             0.95998,             0.49737,            0.031472,            0.011315,           0.0017421,            0.003961,            0.003961,            0.003961
                  63,            0.038168,            0.014131,           0.0047428,             0.97342,              0.9374,             0.96265,             0.49825,            0.030333,            0.011222,           0.0017285,            0.003862,            0.003862,            0.003862
                  64,            0.036194,            0.014636,           0.0049083,             0.97076,             0.94418,             0.96505,             0.50911,            0.029973,            0.011256,            0.001683,            0.003763,            0.003763,            0.003763
                  65,            0.038041,            0.014262,           0.0048873,             0.96594,             0.94379,             0.96639,             0.50941,            0.029215,             0.01122,           0.0017984,            0.003664,            0.003664,            0.003664
                  66,            0.038712,            0.014194,           0.0049981,             0.97661,             0.93434,             0.96316,             0.50527,            0.029526,            0.011286,           0.0016238,            0.003565,            0.003565,            0.003565
                  67,            0.035797,            0.013661,           0.0039028,             0.96901,             0.94574,             0.96076,             0.50399,            0.029415,            0.011142,            0.001535,            0.003466,            0.003466,            0.003466
                  68,            0.035901,            0.013744,           0.0040393,             0.97435,              0.9464,             0.96439,             0.51018,            0.029002,            0.011166,           0.0016009,            0.003367,            0.003367,            0.003367
                  69,            0.035578,            0.013876,           0.0046891,             0.97382,             0.94777,             0.96637,              0.5078,            0.029338,            0.011112,           0.0015008,            0.003268,            0.003268,            0.003268
                  70,            0.036059,            0.014202,           0.0041169,             0.97214,             0.95293,             0.96933,             0.51715,            0.028326,            0.011099,           0.0015373,            0.003169,            0.003169,            0.003169
                  71,            0.035175,            0.014193,           0.0045079,             0.97802,             0.95086,             0.97176,             0.51938,             0.02779,            0.010967,           0.0015511,             0.00307,             0.00307,             0.00307
